Date,Energy (kWh),Reactive energy (kVArh),Power (kW),Maximeter (kW),Reactive power (kVAr),Voltage (V),Intensity (A),Power factor (φ)
1 Aug 2019 13:30:00,0.301,0.000,1.567,1.613,-1.901,124.205,9.832,0.956
1 Aug 2019 13:45:00,0.600,0.399,3.145,4.481,2.266,0.000,17.092,0.975
1 Aug 2019 14:00:00,0.900,0.500,3.029,3.082,1.689,124.095,13.879,0.975
1 Aug 2019 14:15:00,0.600,0.400,2.723,2.770,1.680,0.000,14.019,0.981
1 Aug 2019 14:30:00,2.100,0.301,10.283,12.316,1.739,124.640,60.798,0.978
1 Aug 2019 14:45:00,3.000,2.600,11.956,12.001,10.412,0.000,69.725,0.969
1 Aug 2019 15:00:00,3.000,2.400,11.852,12.345,3.467,124.380,68.733,0.969
1 Aug 2019 15:15:00,2.599,0.000,10.581,10.664,-10.566,0.000,65.420,0.964
1 Aug 2019 15:30:00,2.601,0.000,10.857,10.973,-5.617,124.250,65.852,0.977
1 Aug 2019 15:45:00,2.599,0.000,10.516,10.587,-10.642,0.000,66.318,0.962
1 Aug 2019 16:00:00,2.601,0.000,10.711,10.745,-5.603,124.340,64.552,0.977
1 Aug 2019 16:15:00,2.699,0.000,10.366,10.426,-5.603,0.000,65.452,0.984
1 Aug 2019 16:30:00,2.601,0.000,10.770,10.835,-7.869,124.710,64.759,0.972
1 Aug 2019 16:45:00,2.599,0.000,10.490,10.554,-7.967,0.000,65.332,0.974
1 Aug 2019 17:00:00,2.601,0.100,10.836,10.942,-7.515,124.780,63.326,0.973
1 Aug 2019 17:15:00,2.600,0.000,10.492,10.561,-5.661,0.000,64.547,0.984
1 Aug 2019 17:30:00,2.699,0.000,10.730,10.785,-5.527,124.645,64.606,0.977
1 Aug 2019 17:45:00,2.601,0.000,10.487,10.563,-5.586,0.000,64.232,0.984
1 Aug 2019 18:00:00,2.599,0.000,10.710,10.806,-7.459,124.970,63.451,0.973
1 Aug 2019 18:15:00,1.000,0.300,2.622,2.700,1.857,0.000,14.086,0.977
1 Aug 2019 18:30:00,0.701,0.500,3.061,3.116,1.809,124.825,14.379,0.974
1 Aug 2019 18:45:00,0.700,0.500,2.769,2.810,1.872,0.000,14.567,0.979
1 Aug 2019 19:00:00,0.700,0.399,3.086,3.121,1.842,124.765,14.565,0.974
1 Aug 2019 19:15:00,0.600,0.500,2.686,2.715,1.780,0.000,14.272,0.979
1 Aug 2019 19:30:00,0.700,0.400,3.036,3.044,1.750,124.800,14.125,0.975
1 Aug 2019 19:45:00,0.399,0.100,1.193,1.221,-1.915,0.000,10.125,0.941
1 Aug 2019 20:00:00,0.301,0.000,1.590,1.636,-2.104,124.940,10.806,0.954
1 Aug 2019 20:15:00,0.399,0.101,1.688,2.532,-0.743,0.000,12.073,0.951
1 Aug 2019 20:30:00,0.900,0.700,3.684,4.910,2.721,124.960,19.071,0.965
1 Aug 2019 20:45:00,0.900,0.500,3.914,4.629,-2.629,0.000,35.848,0.849
1 Aug 2019 21:00:00,1.391,0.799,6.442,7.270,-3.467,124.570,57.938,0.861
1 Aug 2019 21:15:00,3.900,2.911,15.536,15.669,3.168,0.000,120.336,0.759
1 Aug 2019 21:30:00,3.790,2.800,15.207,15.829,-3.519,124.220,114.683,0.864
1 Aug 2019 21:45:00,3.510,0.200,13.997,14.160,-19.846,0.000,119.145,0.751
1 Aug 2019 22:00:00,3.399,0.190,14.280,14.563,-18.150,123.950,111.206,0.865
1 Aug 2019 22:15:00,3.400,0.200,13.957,14.258,-18.117,0.000,110.288,0.758
1 Aug 2019 22:30:00,3.491,0.210,14.366,14.529,-19.222,184.158,115.519,0.121
1 Aug 2019 22:45:00,3.509,0.200,13.977,14.162,-18.713,122.060,113.246,0.051
1 Aug 2019 23:00:00,3.591,0.300,14.124,14.378,-14.818,122.875,107.180,0.870
1 Aug 2019 23:15:00,3.510,0.190,13.965,14.267,-18.470,122.105,113.122,0.066
1 Aug 2019 23:30:00,3.499,0.200,14.438,14.557,-18.817,122.365,112.607,0.865
1 Aug 2019 23:45:00,3.491,0.210,13.960,14.137,-18.352,121.665,112.951,0.053
2 Aug 2019 00:00:00,3.509,0.200,14.225,14.418,-16.629,121.745,106.346,0.869
2 Aug 2019 00:15:00,3.491,0.200,13.996,14.221,-17.289,120.625,109.160,0.070
2 Aug 2019 00:30:00,3.609,0.190,14.421,14.677,-18.054,122.025,111.214,0.866
2 Aug 2019 00:45:00,3.201,0.200,11.448,14.157,-13.400,121.335,93.346,0.073
2 Aug 2019 01:00:00,1.499,0.810,6.640,6.803,-4.150,122.200,56.888,0.872
2 Aug 2019 01:15:00,1.700,0.700,6.263,6.403,-4.457,120.260,54.378,0.080
2 Aug 2019 01:30:00,1.591,0.700,6.755,6.908,-5.377,121.575,59.550,0.871
2 Aug 2019 01:45:00,1.610,0.690,6.428,6.638,-5.093,121.145,57.217,0.078
2 Aug 2019 02:00:00,1.700,0.700,6.631,6.740,-4.066,121.660,58.123,0.872
2 Aug 2019 02:15:00,1.400,0.710,5.851,6.434,-6.398,121.015,58.592,0.069
2 Aug 2019 02:30:00,1.189,0.200,5.211,5.331,-9.825,121.720,59.067,0.849
2 Aug 2019 02:45:00,1.311,0.200,4.797,4.984,-9.316,121.295,56.449,0.055
2 Aug 2019 03:00:00,1.209,0.389,5.976,6.442,-6.482,122.000,57.833,0.865
2 Aug 2019 03:15:00,1.791,0.901,7.439,8.243,-3.892,121.315,61.967,0.080
2 Aug 2019 03:30:00,1.610,0.610,7.185,8.256,-5.479,122.065,60.912,0.872
2 Aug 2019 03:45:00,2.480,1.499,10.415,15.666,-2.256,121.015,86.163,0.073
2 Aug 2019 04:00:00,3.820,2.601,15.236,15.908,-3.226,121.665,110.597,0.870
2 Aug 2019 04:15:00,3.400,0.190,13.984,14.158,-17.619,120.930,109.261,0.055
2 Aug 2019 04:30:00,3.489,0.200,13.988,14.085,-17.093,121.575,107.368,0.632
2 Aug 2019 04:45:00,3.511,0.210,13.897,14.037,-17.830,120.900,111.687,0.054
2 Aug 2019 05:00:00,3.580,0.200,13.948,14.018,-17.583,121.670,110.126,0.634
2 Aug 2019 05:15:00,3.509,0.200,13.995,14.348,-15.530,120.680,110.775,0.060
2 Aug 2019 05:30:00,3.490,0.190,14.128,14.334,-17.396,121.820,108.823,0.631
2 Aug 2019 05:45:00,3.511,0.200,14.041,14.178,-17.536,121.065,109.909,0.069
2 Aug 2019 06:00:00,3.590,0.210,14.157,14.327,-17.929,121.440,111.067,0.635
2 Aug 2019 06:15:00,3.610,0.200,14.176,14.378,-16.268,120.940,117.202,0.073
2 Aug 2019 06:30:00,3.600,0.200,14.218,14.454,-18.171,121.840,113.116,0.629
2 Aug 2019 06:45:00,3.490,0.190,14.126,14.349,-17.750,120.870,110.799,0.055
2 Aug 2019 07:00:00,2.509,0.110,13.074,14.382,-14.227,121.705,103.832,0.649
2 Aug 2019 07:15:00,2.901,0.000,11.156,12.603,-0.080,0.000,75.629,0.930
2 Aug 2019 07:30:00,2.699,0.300,5.299,10.516,0.473,121.860,30.073,0.740
2 Aug 2019 07:45:00,0.700,0.500,2.748,2.825,2.125,0.000,15.232,0.974
2 Aug 2019 08:00:00,0.701,0.600,2.802,2.866,2.251,122.395,15.651,0.736
2 Aug 2019 08:15:00,0.599,0.600,2.707,2.733,2.284,0.000,15.592,0.970
2 Aug 2019 08:30:00,0.000,0.000,0.046,0.046,0.000,121.875,0.000,0.750
2 Aug 2019 08:45:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
2 Aug 2019 09:00:00,0.101,0.099,0.046,0.046,0.840,121.570,3.670,0.688
2 Aug 2019 09:15:00,0.000,0.201,0.000,0.000,0.846,0.000,3.693,0.875
2 Aug 2019 09:30:00,0.000,0.200,0.466,1.302,-0.051,121.765,5.778,0.704
2 Aug 2019 09:45:00,0.500,0.500,2.581,2.640,2.396,0.000,15.519,0.967
2 Aug 2019 10:00:00,1.000,0.699,4.003,4.722,2.858,122.015,21.519,0.738
2 Aug 2019 10:15:00,1.099,0.701,4.403,4.444,3.084,0.000,23.758,0.977
2 Aug 2019 10:30:00,2.000,1.400,8.994,12.113,1.169,122.645,50.092,0.737
2 Aug 2019 10:45:00,2.601,0.000,10.452,10.579,-8.787,0.000,60.639,0.971
2 Aug 2019 11:00:00,2.600,0.000,10.531,10.601,-8.577,122.705,60.419,0.736
2 Aug 2019 11:15:00,2.599,0.000,10.569,10.604,-8.923,0.000,61.519,0.970
2 Aug 2019 11:30:00,2.700,0.000,10.571,10.684,-9.032,123.020,61.933,0.735
2 Aug 2019 11:45:00,2.601,0.000,10.525,10.587,-9.535,0.000,63.172,0.968
2 Aug 2019 12:00:00,2.800,0.000,10.605,10.684,-8.270,123.250,64.965,0.737
2 Aug 2019 12:15:00,2.500,0.000,10.701,10.721,-8.178,0.000,63.885,0.974
2 Aug 2019 12:30:00,2.700,0.000,10.785,10.877,-3.403,123.480,63.887,0.742
2 Aug 2019 12:45:00,2.699,0.000,10.693,10.739,-1.185,0.000,64.353,0.994
2 Aug 2019 13:00:00,2.601,0.100,10.734,10.762,-10.411,123.545,63.658,0.737
2 Aug 2019 13:15:00,2.700,0.000,10.741,10.794,-10.458,0.000,63.958,0.965
2 Aug 2019 13:30:00,2.699,0.000,10.770,10.796,-10.624,124.980,64.811,0.732
2 Aug 2019 13:45:00,2.700,0.000,10.768,10.920,-8.164,0.000,64.585,0.974
2 Aug 2019 14:00:00,2.701,0.000,10.822,10.903,-10.583,124.675,64.785,0.732
2 Aug 2019 14:15:00,1.299,0.299,2.644,2.710,1.943,0.000,14.005,0.976
2 Aug 2019 14:30:00,0.701,0.600,2.803,2.809,1.974,124.120,14.405,0.738
2 Aug 2019 14:45:00,0.700,0.500,2.882,2.918,2.054,0.000,14.991,0.977
2 Aug 2019 15:00:00,0.700,0.500,2.851,2.870,1.982,124.500,14.619,0.738
2 Aug 2019 15:15:00,0.699,0.500,2.827,2.892,2.280,0.000,15.799,0.972
2 Aug 2019 15:30:00,0.700,0.601,2.841,2.902,2.014,124.080,14.592,0.738
2 Aug 2019 15:45:00,0.701,0.500,2.751,2.792,1.946,0.000,14.380,0.977
2 Aug 2019 16:00:00,0.700,0.399,2.832,2.833,1.964,124.120,14.591,0.739
2 Aug 2019 16:15:00,0.700,0.500,2.780,2.789,2.004,0.000,14.692,0.976
2 Aug 2019 16:30:00,0.600,0.400,2.860,2.887,1.946,124.660,14.619,0.739
2 Aug 2019 16:45:00,0.700,0.500,2.848,2.877,1.871,0.000,14.505,0.980
2 Aug 2019 17:00:00,0.700,0.401,2.308,2.871,0.688,125.075,13.020,0.732
2 Aug 2019 17:15:00,0.500,0.400,2.037,2.493,0.729,0.000,12.512,0.960
2 Aug 2019 17:30:00,0.800,0.600,3.339,4.597,2.404,125.130,17.484,0.733
2 Aug 2019 17:45:00,0.700,0.500,2.663,2.706,1.870,0.000,13.966,0.977
2 Aug 2019 18:00:00,1.600,0.199,7.835,10.439,-6.506,124.580,47.358,0.733
2 Aug 2019 18:15:00,2.599,0.000,10.413,10.496,-10.789,0.000,64.393,0.962
2 Aug 2019 18:30:00,1.801,0.000,10.352,10.399,-9.979,124.495,63.768,0.732
2 Aug 2019 18:45:00,3.399,0.000,10.401,10.444,-10.060,0.000,63.570,0.965
2 Aug 2019 19:00:00,2.601,0.000,10.528,10.649,-7.495,124.610,62.125,0.738
2 Aug 2019 19:15:00,2.600,0.000,10.435,10.521,-9.880,0.000,63.052,0.966
2 Aug 2019 19:30:00,2.599,0.000,10.519,10.603,-10.105,124.685,63.506,0.732
2 Aug 2019 19:45:00,2.601,0.000,10.351,10.422,-10.140,0.000,64.094,0.964
2 Aug 2019 20:00:00,2.599,0.000,10.435,10.461,-7.879,124.650,64.359,0.737
2 Aug 2019 20:15:00,2.601,0.000,10.429,10.504,-10.175,0.000,64.445,0.965
2 Aug 2019 20:30:00,2.600,0.000,10.486,10.605,-10.177,124.690,64.125,0.732
2 Aug 2019 20:45:00,2.799,0.000,11.768,12.553,-15.395,0.000,87.896,0.838
2 Aug 2019 21:00:00,3.400,0.200,13.720,14.156,-15.954,124.760,104.758,0.624
2 Aug 2019 21:15:00,3.491,0.190,13.878,14.143,-17.157,0.000,111.068,0.759
2 Aug 2019 21:30:00,3.510,0.200,14.038,14.248,-17.069,124.660,108.056,0.631
2 Aug 2019 21:45:00,3.499,0.210,14.260,14.384,-19.478,0.000,117.825,0.753
2 Aug 2019 22:00:00,2.890,0.401,11.553,14.205,-14.746,124.765,97.439,0.631
2 Aug 2019 22:15:00,1.610,0.600,6.321,6.400,-5.629,0.000,61.055,0.775
2 Aug 2019 22:30:00,1.501,0.690,6.263,6.366,-5.001,186.093,56.594,0.104
2 Aug 2019 22:45:00,1.600,0.599,6.345,6.475,-6.148,123.525,62.186,0.183
2 Aug 2019 23:00:00,1.590,0.710,6.866,8.013,-3.615,124.035,56.062,0.643
2 Aug 2019 23:15:00,2.010,0.901,7.841,8.017,-4.016,123.220,66.920,0.174
2 Aug 2019 23:30:00,1.890,0.899,7.436,8.204,-4.071,123.660,60.306,0.642
2 Aug 2019 23:45:00,1.610,0.591,6.289,6.449,-5.803,122.800,61.407,0.078
3 Aug 2019 00:00:00,1.600,0.700,6.323,6.510,-4.820,123.110,55.281,0.641
3 Aug 2019 00:15:00,1.589,0.610,6.203,6.291,-4.477,122.480,55.128,0.096
3 Aug 2019 00:30:00,1.211,0.200,4.694,4.826,-7.251,122.990,46.770,0.627
3 Aug 2019 00:45:00,1.190,0.200,4.778,4.950,-8.654,122.260,50.250,0.064
3 Aug 2019 01:00:00,1.209,0.389,5.234,6.094,-6.936,122.980,52.067,0.627
3 Aug 2019 01:15:00,1.691,0.800,6.769,8.211,-4.033,122.060,59.133,0.080
3 Aug 2019 01:30:00,1.609,0.610,6.373,6.498,-5.293,122.795,57.392,0.640
3 Aug 2019 01:45:00,1.791,0.601,8.889,14.152,-9.988,122.255,78.628,0.075
3 Aug 2019 02:00:00,3.509,0.200,14.058,14.185,-17.294,122.770,107.729,0.633
3 Aug 2019 02:15:00,3.411,0.190,13.820,13.941,-16.983,122.230,106.503,0.057
3 Aug 2019 02:30:00,3.390,0.200,14.034,14.156,-17.591,123.005,109.236,0.637
3 Aug 2019 02:45:00,3.509,0.210,13.990,14.249,-17.483,122.290,108.540,0.056
3 Aug 2019 03:00:00,3.491,0.200,13.980,14.136,-16.653,123.130,106.669,0.639
3 Aug 2019 03:15:00,3.510,0.200,13.966,14.234,-16.949,122.335,106.819,0.058
3 Aug 2019 03:30:00,3.599,0.190,14.060,14.223,-16.429,123.070,105.133,0.639
3 Aug 2019 03:45:00,3.491,0.200,14.076,14.305,-17.595,122.520,110.499,0.040
3 Aug 2019 04:00:00,3.509,0.310,14.138,14.314,-17.663,123.210,109.522,0.631
3 Aug 2019 04:15:00,3.591,0.200,14.002,14.111,-16.652,122.395,107.170,0.057
3 Aug 2019 04:30:00,3.509,0.200,14.094,14.340,-17.776,123.300,110.409,0.632
3 Aug 2019 04:45:00,3.501,0.190,13.951,14.068,-16.744,122.520,105.457,0.057
3 Aug 2019 05:00:00,3.489,0.200,14.098,14.248,-17.562,123.285,108.365,0.631
3 Aug 2019 05:15:00,3.511,0.210,14.004,14.214,-16.469,122.720,105.250,0.091
3 Aug 2019 05:30:00,3.589,0.399,14.509,15.536,-9.915,123.385,108.831,0.632
3 Aug 2019 05:45:00,3.910,2.901,15.648,15.813,3.571,122.320,116.048,0.059
3 Aug 2019 06:00:00,2.001,0.989,7.290,7.942,-4.089,123.375,61.549,0.639
3 Aug 2019 06:15:00,1.489,0.600,6.279,6.422,-4.796,122.670,56.032,0.080
3 Aug 2019 06:30:00,1.611,0.710,6.263,6.391,-4.676,123.260,56.633,0.639
3 Aug 2019 06:45:00,1.590,0.601,6.282,6.421,-4.704,122.450,56.602,0.080
3 Aug 2019 07:00:00,1.400,0.590,5.322,6.462,-6.153,123.405,56.199,0.641
3 Aug 2019 07:15:00,0.800,0.500,3.366,4.738,-0.383,122.500,26.347,0.147
3 Aug 2019 07:30:00,0.700,0.500,2.684,2.718,1.987,123.225,14.551,0.737
3 Aug 2019 07:45:00,0.700,0.500,2.720,2.735,1.922,0.000,14.785,0.977
3 Aug 2019 08:00:00,0.699,0.500,2.797,2.868,2.074,122.880,15.098,0.738
3 Aug 2019 08:15:00,0.401,0.199,1.748,2.759,-0.737,0.000,12.425,0.950
3 Aug 2019 08:30:00,0.299,0.000,1.291,1.296,-2.145,122.625,10.932,0.719
3 Aug 2019 08:45:00,0.401,0.000,1.212,1.220,-2.079,0.000,10.673,0.938
3 Aug 2019 09:00:00,0.700,0.500,3.204,4.568,2.469,122.640,17.651,0.736
3 Aug 2019 09:15:00,0.699,0.701,2.769,2.806,2.421,0.000,16.205,0.969
3 Aug 2019 09:30:00,0.700,0.600,2.800,2.857,2.380,122.955,16.532,0.735
3 Aug 2019 09:45:00,2.201,0.199,10.440,10.499,-9.055,0.000,68.839,0.970
3 Aug 2019 10:00:00,2.500,0.101,10.464,10.532,-9.061,122.575,68.778,0.735
3 Aug 2019 10:15:00,2.599,0.100,10.315,10.384,-3.917,0.000,68.859,0.981
3 Aug 2019 10:30:00,2.601,0.100,10.409,10.481,-9.080,122.575,68.873,0.735
3 Aug 2019 10:45:00,2.599,0.099,10.344,10.419,-6.473,0.000,68.973,0.981
3 Aug 2019 11:00:00,2.601,0.000,10.438,10.463,-11.536,123.095,68.827,0.729
3 Aug 2019 11:15:00,2.600,0.100,10.405,10.454,-6.599,0.000,69.304,0.980
3 Aug 2019 11:30:00,2.599,0.000,10.458,10.575,-11.511,123.230,68.719,0.730
3 Aug 2019 11:45:00,2.601,0.000,10.475,10.523,-9.003,0.000,68.879,0.970
3 Aug 2019 12:00:00,2.700,0.301,11.052,12.004,1.192,123.330,70.819,0.741
3 Aug 2019 12:15:00,3.000,2.900,12.056,12.099,11.709,0.000,73.993,0.965
3 Aug 2019 12:30:00,3.000,2.600,11.594,12.173,3.997,123.920,72.313,0.731
3 Aug 2019 12:45:00,2.600,0.000,10.597,10.642,-9.292,0.000,69.746,0.970
3 Aug 2019 13:00:00,2.599,0.099,10.546,10.622,-8.866,124.000,68.438,0.735
3 Aug 2019 13:15:00,2.601,0.000,10.452,10.531,-11.815,0.000,70.020,0.958
3 Aug 2019 13:30:00,2.599,0.100,10.567,10.679,-9.221,124.065,70.105,0.735
3 Aug 2019 13:45:00,1.101,0.400,2.733,2.757,2.494,0.000,16.373,0.967
3 Aug 2019 14:00:00,0.699,0.701,2.885,2.940,2.527,124.220,16.844,0.734
3 Aug 2019 14:15:00,0.700,0.600,2.843,2.891,2.521,0.000,16.959,0.969
3 Aug 2019 14:30:00,0.701,0.600,2.900,2.916,2.580,124.705,17.132,0.734
3 Aug 2019 14:45:00,0.799,0.699,2.857,2.888,2.536,0.000,16.945,0.968
3 Aug 2019 15:00:00,0.701,0.601,2.860,2.892,2.530,124.345,16.712,0.734
3 Aug 2019 15:15:00,0.700,0.600,2.807,2.857,2.485,0.000,16.638,0.969
3 Aug 2019 15:30:00,0.599,0.600,2.818,2.845,2.492,124.430,16.452,0.734
3 Aug 2019 15:45:00,0.701,0.699,2.772,2.819,2.500,0.000,16.533,0.968
3 Aug 2019 16:00:00,1.000,0.301,4.824,10.387,-1.437,124.385,33.025,0.732
3 Aug 2019 16:15:00,0.299,0.000,1.331,1.351,-2.604,0.000,12.818,0.932
3 Aug 2019 16:30:00,0.300,0.000,1.347,1.382,-2.561,124.645,12.704,0.716
3 Aug 2019 16:45:00,0.500,0.400,2.121,2.560,0.839,0.000,14.780,0.953
3 Aug 2019 17:00:00,0.901,0.799,3.429,4.721,2.805,124.950,19.412,0.735
3 Aug 2019 17:15:00,0.700,0.701,2.843,2.887,2.478,0.000,16.419,0.969
3 Aug 2019 17:30:00,1.399,0.399,7.695,10.255,0.600,124.995,49.946,0.742
3 Aug 2019 17:45:00,2.500,0.101,10.218,10.271,-3.956,0.000,67.832,0.992
3 Aug 2019 18:00:00,2.601,0.100,10.236,10.275,-6.421,124.760,67.553,0.740
3 Aug 2019 18:15:00,2.500,0.100,10.169,10.228,-3.937,0.000,67.939,0.981
3 Aug 2019 18:30:00,2.599,0.400,10.745,11.836,-1.289,125.070,69.659,0.735
3 Aug 2019 18:45:00,3.000,2.900,11.758,11.780,11.725,0.000,73.665,0.964
3 Aug 2019 19:00:00,2.901,2.500,11.294,11.952,3.887,125.135,69.732,0.732
3 Aug 2019 19:15:00,2.500,0.100,10.280,10.318,-6.536,0.000,67.811,0.980
3 Aug 2019 19:30:00,2.599,0.100,10.357,10.425,-4.307,125.145,69.839,0.740
3 Aug 2019 19:45:00,2.601,0.199,10.359,10.437,-1.672,0.000,69.399,0.992
3 Aug 2019 20:00:00,2.600,0.400,10.409,10.467,1.200,124.930,70.778,0.746
3 Aug 2019 20:15:00,2.599,0.600,10.401,10.454,-1.551,0.000,71.112,0.991
3 Aug 2019 20:30:00,2.601,0.601,10.514,10.618,-1.428,125.110,71.526,0.740
3 Aug 2019 20:45:00,2.899,0.500,11.701,12.430,-3.869,0.000,94.758,0.866
3 Aug 2019 21:00:00,3.401,0.710,13.793,14.115,-5.043,124.995,113.763,0.637
3 Aug 2019 21:15:00,3.510,0.800,13.904,14.085,-4.474,0.000,111.895,0.802
3 Aug 2019 21:30:00,2.699,0.700,8.885,14.079,-8.787,124.855,76.181,0.630
3 Aug 2019 21:45:00,1.501,0.790,6.475,6.616,-5.546,0.000,66.751,0.758
3 Aug 2019 22:00:00,1.689,0.899,6.569,6.767,-4.280,124.845,62.140,0.632
3 Aug 2019 22:15:00,1.611,0.911,6.470,6.581,-4.481,0.000,61.851,0.762
3 Aug 2019 22:30:00,1.600,0.899,6.451,6.551,-3.553,186.120,58.784,0.112
3 Aug 2019 22:45:00,1.590,0.901,6.477,6.587,-5.009,123.710,64.176,0.167
3 Aug 2019 23:00:00,1.609,0.890,6.527,6.630,-3.999,124.375,61.276,0.635
3 Aug 2019 23:15:00,1.590,0.899,6.489,6.698,-4.801,123.585,60.748,0.176
3 Aug 2019 23:30:00,1.710,0.811,6.518,6.710,-4.218,124.295,60.366,0.639
3 Aug 2019 23:45:00,1.701,0.900,8.837,13.622,-6.228,123.525,77.330,0.162
4 Aug 2019 00:00:00,1.490,0.200,5.004,5.163,-9.808,123.955,56.275,0.616
4 Aug 2019 00:15:00,1.209,0.190,4.873,5.133,-10.086,123.320,58.112,0.149
